Configuration,Year,RoundNumber,EventName,Windows,learning_rate,max_iter,max_leaf_nodes,max_depth,min_samples_leaf,l2_regularization,MAE,RMSE,Baseline MAE,Baseline improvement %,TrainingSeconds
default,2019,21,Abu Dhabi Grand Prix,185,0.1,100,31,,20,0.0,1.0036242517596492,1.606799700195974,1.0702702702702702,6.2270269820529744,10.404815799905919
default,2020,11,Eifel Grand Prix,181,0.1,100,31,,20,0.0,1.2246115598220149,1.9350204065127092,1.425414364640884,14.087328555122207,9.187797200051136
default,2021,6,Azerbaijan Grand Prix,164,0.1,100,31,,20,0.0,1.3283948143757638,2.1780726558605905,1.2804878048780488,-3.741309313154884,9.353771900059655
default,2021,19,São Paulo Grand Prix,248,0.1,100,31,,20,0.0,0.8609165706737617,1.392383026177647,0.8911290322580645,3.3903576800484587,9.43272879999131
default,2022,9,Canadian Grand Prix,231,0.1,100,31,,20,0.0,0.933759803880333,1.5659545701320834,0.7792207792207793,-19.832508164642725,9.935219599981792
default,2022,20,Mexico City Grand Prix,253,0.1,100,31,,20,0.0,0.8146518918184104,1.2621515694411496,0.8063241106719368,-1.0328081519891266,10.135083699948154
default,2023,10,British Grand Prix,166,0.1,100,31,,20,0.0,1.0995686950726324,1.543273418118767,0.9518072289156626,-15.524305938010755,10.652550200000405
default,2023,22,Abu Dhabi Grand Prix,200,0.1,100,31,,20,0.0,1.7032838506836703,2.5751680912166885,2.15,20.77749531703859,11.084161799983121
default,2024,12,British Grand Prix,167,0.1,100,31,,20,0.0,0.7649111542891446,1.1584568254408882,0.5449101796407185,-40.37380523767819,11.544497200055048
default,2024,24,Abu Dhabi Grand Prix,179,0.1,100,31,,20,0.0,1.2628203642294877,1.8495605546757004,1.2737430167597765,0.8575240363691637,11.937827700050548
slower_regularized,2019,21,Abu Dhabi Grand Prix,185,0.05,200,31,,30,1.0,1.0259045618777878,1.6641540880821317,1.0702702702702702,4.145280834651137,9.12867810006719
slower_regularized,2020,11,Eifel Grand Prix,181,0.05,200,31,,30,1.0,1.2339893940236335,1.9551811888220125,1.425414364640884,13.429426233225707,9.35758640000131
slower_regularized,2021,6,Azerbaijan Grand Prix,164,0.05,200,31,,30,1.0,1.3895710993205612,2.2189852725308694,1.2804878048780488,-8.518885851700968,9.923056600033306
slower_regularized,2021,19,São Paulo Grand Prix,248,0.05,200,31,,30,1.0,0.8680067305535225,1.40699990894702,0.8911290322580645,2.5947198292879703,10.326915999990888
slower_regularized,2022,9,Canadian Grand Prix,231,0.05,200,31,,30,1.0,0.9474577366919711,1.5335031199838607,0.7792207792207793,-21.590409542136282,10.582641100045294
slower_regularized,2022,20,Mexico City Grand Prix,253,0.05,200,31,,30,1.0,0.826888610400609,1.2639978286944553,0.8063241106719368,-2.5504011918402347,10.986679299967363
slower_regularized,2023,10,British Grand Prix,166,0.05,200,31,,30,1.0,1.1010701082518817,1.5528612684398742,0.9518072289156626,-15.682049347982511,11.381143899983726
slower_regularized,2023,22,Abu Dhabi Grand Prix,200,0.05,200,31,,30,1.0,1.6504062247029927,2.531319176494245,2.15,23.23691978125615,11.63061170000583
slower_regularized,2024,12,British Grand Prix,167,0.05,200,31,,30,1.0,0.7813227724366505,1.1498108656103208,0.5449101796407185,-43.385607688923784,11.20390409999527
slower_regularized,2024,24,Abu Dhabi Grand Prix,179,0.05,200,31,,30,1.0,1.2451552807178488,1.8399555565985348,1.2737430167597765,2.2443880489057326,11.713389400043525
small_trees,2019,21,Abu Dhabi Grand Prix,185,0.08,150,15,,30,1.0,1.032409904400813,1.650880170005518,1.0702702702702702,3.537458427196757,8.26125670003239
small_trees,2020,11,Eifel Grand Prix,181,0.08,150,15,,30,1.0,1.224360900731987,1.9463770921634929,1.425414364640884,14.104913553298589,8.578179699950852
small_trees,2021,6,Azerbaijan Grand Prix,164,0.08,150,15,,30,1.0,1.3713838681051551,2.2071589052038294,1.2804878048780488,-7.098549699640682,9.231930000009015
small_trees,2021,19,São Paulo Grand Prix,248,0.08,150,15,,30,1.0,0.8627626819727161,1.4270967766349163,0.8911290322580645,3.183192249215567,9.628063899930567
