Specification,Year,RoundNumber,EventName,Horizon,TwoStage,RecencyHalfLife,PositionVariant,TrainingWindows,ValidationWindows,Features,NoChangePercent,MAE,RMSE,Baseline MAE,Baseline improvement %,Change accuracy,Change Brier score,Change ROC AUC,TrainingSeconds
single_stage,2019,21,Abu Dhabi Grand Prix,5,False,40,full,7708,185,206,50.27027027027027,1.0275803093355769,1.6555144354322626,1.0702702702702702,3.9887084711708436,,,,26.560916399932466
single_stage,2021,3,Portuguese Grand Prix,5,False,40,full,11476,225,206,58.22222222222222,0.8750354130908249,1.423760896321923,0.8355555555555556,-4.724982949699781,,,,25.409037700039335
single_stage,2022,2,Saudi Arabian Grand Prix,5,False,40,full,15497,143,206,52.44755244755245,0.9326895083388204,1.4002492919599752,0.9020979020979021,-3.3911625522878404,,,,28.229222499998286
single_stage,2022,22,Abu Dhabi Grand Prix,5,False,40,full,19221,194,206,40.72164948453608,1.044359392598577,1.6246590833902252,1.2835051546391754,18.632240094729347,,,,25.70273310004268
single_stage,2023,20,São Paulo Grand Prix,5,False,40,full,23162,200,206,53.0,0.848336207290682,1.2956891163536486,0.91,6.776240957067911,,,,19.65616580005735
single_stage,2024,18,Singapore Grand Prix,5,False,40,full,27101,210,206,55.23809523809524,0.9851463390795129,1.6209086006322924,0.9714285714285714,-1.4121231405380914,,,,19.11940800002776
single_stage,2025,14,Hungarian Grand Prix,5,False,40,full,30894,245,206,49.38775510204081,1.2015833522636457,1.7461928374300029,1.1346938775510205,-5.8949357210766795,,,,19.010519900009967
single_stage,2026,11,Hungarian Grand Prix,5,False,40,full,35092,254,206,40.94488188976378,0.8975302936671598,1.3135368833151808,1.0236220472440944,12.318194387900544,,,,21.951958600082435
two_stage,2019,21,Abu Dhabi Grand Prix,5,True,40,full,7708,185,206,50.27027027027027,1.0385023601356662,1.6968448879333204,1.0702702702702702,2.96821382570795,0.7189189189189189,0.1862484082801487,0.7892706872370265,26.06199179997202
two_stage,2021,3,Portuguese Grand Prix,5,True,40,full,11476,225,206,58.22222222222222,0.8788451513349622,1.4604107927119598,0.8355555555555556,-5.1809356650885565,0.6622222222222223,0.21588057053768014,0.7079746629852202,27.094460500054993
two_stage,2022,2,Saudi Arabian Grand Prix,5,True,40,full,15497,143,206,52.44755244755245,0.9461630808378491,1.4569331610545895,0.9020979020979021,-4.884744620009626,0.6573426573426573,0.210572039914543,0.7652941176470588,29.57020320009906
two_stage,2022,22,Abu Dhabi Grand Prix,5,True,40,full,19221,194,206,40.72164948453608,1.0064529747893458,1.5766595061049629,1.2835051546391754,21.585591522436516,0.6907216494845361,0.20925685567994415,0.7848101265822784,31.25271310005337
two_stage,2023,20,São Paulo Grand Prix,5,True,40,full,23162,200,206,53.0,0.8139400934277168,1.2414591806785205,0.91,10.556033689261895,0.765,0.17450089712756026,0.8137294259333601,37.06509010004811
two_stage,2024,18,Singapore Grand Prix,5,True,40,full,27101,210,206,55.23809523809524,0.9826373018329846,1.597913478467582,0.9714285714285714,-1.153839894571944,0.680952380952381,0.19690693812027704,0.7632978723404256,34.55600930005312
two_stage,2025,14,Hungarian Grand Prix,5,True,40,full,30894,245,206,49.38775510204081,1.2301952624676447,1.7847580116654567,1.1346938775510205,-8.41648895847947,0.673469387755102,0.21620444853079673,0.7325379898693681,39.57429909997154
two_stage,2026,11,Hungarian Grand Prix,5,True,40,full,35092,254,206,40.94488188976378,0.8557486970540187,1.267725640570935,1.0236220472440944,16.399934980107403,0.6929133858267716,0.20326103929583395,0.7619871794871794,11755.200540099991
recency_equal,2019,21,Abu Dhabi Grand Prix,5,True,,full,7708,185,206,50.27027027027027,1.0166456206188004,1.645749351524183,1.0702702702702702,5.010383932081779,0.7297297297297297,0.18460253524171386,0.7926601215521272,3871.555257900036
recency_equal,2021,3,Portuguese Grand Prix,5,True,,full,11476,225,206,58.22222222222222,0.8498947180971443,1.4237156735886634,0.8355555555555556,-1.7161231765199283,0.6977777777777778,0.20294086426017768,0.7410264739321097,29.570652100024745
recency_equal,2022,2,Saudi Arabian Grand Prix,5,True,,full,15497,143,206,52.44755244755245,0.9111290424306667,1.4243197419745564,0.9020979020979021,-1.0011264089808867,0.6573426573426573,0.21163986375286184,0.7664705882352941,31.102887299959548
recency_equal,2022,22,Abu Dhabi Grand Prix,5,True,,full,19221,194,206,40.72164948453608,1.0373246633846902,1.6617199362215238,1.2835051546391754,19.180327431072335,0.6752577319587629,0.2138292971889144,0.775454045129334,31.225873699993826
recency_equal,2023,20,São Paulo Grand Prix,5,True,,full,23162,200,206,53.0,0.8221671530397866,1.2680293656072197,0.91,9.65196120441906,0.75,0.17567519390899988,0.8143315937374549,6307.460456899949
recency_equal,2024,18,Singapore Grand Prix,5,True,,full,27101,210,206,55.23809523809524,0.9903926526466307,1.6064652447872232,0.9714285714285714,-1.952184831270806,0.6714285714285714,0.19951648100180017,0.7539435069699193,38.626007099985145
recency_equal,2025,14,Hungarian Grand Prix,5,True,,full,30894,245,206,49.38775510204081,1.1763989562981056,1.7594968694540944,1.1346938775510205,-3.675447587422974,0.6489795918367347,0.21363388032328137,0.738869634764063,40.24249099998269
recency_equal,2026,11,Hungarian Grand Prix,5,True,,full,35092,254,206,40.94488188976378,0.8483737308403533,1.276095320164889,1.0236220472440944,17.120412448673175,0.6456692913385826,0.22299030273747783,0.7294871794871794,42.957446299958974
recency_20,2019,21,Abu Dhabi Grand Prix,5,True,20,full,7708,185,206,50.27027027027027,1.0152225895483251,1.687665460004651,1.0702702702702702,5.1433439058383055,0.6918918918918919,0.18849423977865218,0.78424497428705,27.33277909993194
recency_20,2021,3,Portuguese Grand Prix,5,True,20,full,11476,225,206,58.22222222222222,0.8759968986987617,1.4653483959039613,0.8355555555555556,-4.8400543655432875,0.6488888888888888,0.21421917894165668,0.7095988305993179,31.056263800011948
recency_20,2022,2,Saudi Arabian Grand Prix,5,True,20,full,15497,143,206,52.44755244755245,0.9049516040910286,1.407590509758652,0.9020979020979021,-0.31634060854038076,0.6643356643356644,0.19875919698236255,0.7756862745098039,33.41044090001378
recency_20,2022,22,Abu Dhabi Grand Prix,5,True,20,full,19221,194,206,40.72164948453608,1.0016922382612916,1.569275653804933,1.2835051546391754,21.956508344300982,0.6649484536082474,0.20939410605503167,0.7864611997798568,41.84020880004391
recency_20,2023,20,São Paulo Grand Prix,5,True,20,full,23162,200,206,53.0,0.8176678301295852,1.2773887595418503,0.91,10.146392293452177,0.75,0.17775416376627795,0.8142312324367724,86.47393640002701
recency_20,2024,18,Singapore Grand Prix,5,True,20,full,27101,210,206,55.23809523809524,0.9634775782989361,1.5850795383629779,0.9714285714285714,0.8184845868742241,0.6666666666666666,0.20204590185977941,0.7545854732208364,99.65248199994676
recency_20,2025,14,Hungarian Grand Prix,5,True,20,full,30894,245,206,49.38775510204081,1.2248987804031133,1.7518535906354455,1.1346938775510205,-7.949712661425445,0.636734693877551,0.2254314999134208,0.7269394828045854,69.03732889995445
